date,project,tool,scenario,run_index,total_build_seconds,dependency_resolve_seconds,compile_seconds,test_seconds,peak_memory_mb,cpu_notes,affected_modules,recompiled_units,retested_units,task_skipped_ratio,cache_hit_ratio,notes
2026-04-20,sample-a,maven,cold,1,45,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,maven,warm,1,12,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,maven,cold,1,6,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,maven,warm,1,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,gradle,cold,1,55,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,gradle,warm,1,3,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,gradle,warm,1,5,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,gradle,cold,1,5,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,maven,cold,1,14,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,maven,cold,2,12,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,maven,cold,3,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,maven,warm,1,12,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,maven,warm,2,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,maven,warm,3,12,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,maven,cold,1,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,maven,cold,2,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,maven,cold,3,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,maven,warm,1,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,maven,warm,2,12,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,maven,warm,3,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,gradle,cold,1,4,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,gradle,cold,2,4,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,gradle,cold,3,4,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,gradle,warm,1,3,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,gradle,warm,2,3,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,gradle,warm,3,2,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,gradle,cold,1,4,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,gradle,cold,2,5,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,gradle,cold,3,4,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,gradle,warm,1,3,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,gradle,warm,2,3,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,gradle,warm,3,3,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,maven,cold,1,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,maven,cold,2,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,maven,cold,3,12,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,maven,warm,1,12,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,maven,warm,2,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-a,maven,warm,3,12,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,maven,cold,1,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,maven,cold,2,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,maven,cold,3,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,maven,warm,1,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,maven,warm,2,13,,,,,,,,,,,autofilled_total_seconds_only
2026-04-20,sample-b,maven,warm,3,13,,,,,,,,,,,autofilled_total_seconds_only
